objid,type,ra,dec,u,g,r,i,z,redshift
1237671939804561466,GALAXY,258.14536146992,64.0707039556691,17.96586,15.43528,14.45425,13.74995,13.69962,Null
1237671939804561468,GALAXY,258.096472713234,64.0325247558209,19.74413,17.56668,16.5453,16.11852,15.78846,0.07981008
1237671939804561470,GALAXY,258.208366383736,64.0529482205171,19.22208,17.00105,16.03318,15.59466,15.34225,0.07395603
1237671939804561471,GALAXY,258.066004094508,64.0725766806034,19.73644,17.5924,16.65129,16.20864,15.90533,Null
1237671939804561472,GALAXY,258.170986933579,64.0726965378591,19.24469,17.0818,16.12346,15.65043,15.33794,0.0834782
1237671939804561475,GALAXY,258.213356620306,64.0731695837472,19.24982,17.20155,16.26258,15.75252,15.49401,0.07390364
1237671939804561476,GALAXY,258.119946070518,64.0607482946166,17.35083,14.94665,14.0375,13.56921,13.33719,0.07343803
1237671939804561480,GALAXY,258.106954662951,64.0654283966817,19.61824,17.79926,16.8633,16.40733,16.10147,Null
1237671939804561481,GALAXY,258.157927024659,64.0887592156704,20.51149,18.47374,17.58412,17.13854,16.87547,Null
1237671939804561483,GALAXY,258.133634671946,64.0385560326226,19.56118,17.64848,16.64314,16.21251,15.97259,0.08280216
1237671939804561484,GALAXY,258.181636220846,64.0535395506805,19.60752,17.72213,16.78737,16.35058,16.07873,0.08562605
1237671939804561491,GALAXY,258.109779747288,64.082119760561,21.07705,18.82711,17.85458,17.41082,17.12147,0.07945839
1237671939804561640,GALAXY,258.258457871243,64.0522970986782,17.98511,15.83024,14.83095,14.39797,14.0908,Null
1237671939804561862,GALAXY,258.029198583189,64.0554908617312,19.4303,17.4287,16.4969,16.06833,15.74951,0.08279845
1237671939804626959,GALAXY,258.371305359595,64.0468693036784,17.81879,15.6649,14.64762,14.22721,13.90421,0.07843956
1237671939804627468,GALAXY,258.463305483247,64.0035185573993,18.23261,16.988,16.32518,15.93572,15.71291,0.08765244
